threshold,positive_top1_accuracy,accepted_match_precision,false_acceptance_rate,coverage,abstention_rate,accepted_count,false_acceptance_count,pareto_relevant
0.0,0.833333,0.5,1.0,1.0,0.0,30,12,True
0.18,0.833333,0.789474,0.166667,0.633333,0.366667,19,2,True
0.21,0.833333,0.833333,0.083333,0.6,0.4,18,1,True
0.26,0.833333,0.833333,0.083333,0.6,0.4,18,1,True
0.27,0.833333,0.882353,0.083333,0.566667,0.433333,17,1,True
0.28,0.777778,0.933333,0.083333,0.5,0.5,15,1,True
0.29,0.777778,0.933333,0.083333,0.5,0.5,15,1,True
0.32,0.722222,1.0,0.0,0.433333,0.566667,13,0,True
0.35,0.666667,1.0,0.0,0.4,0.6,12,0,False
0.39,0.611111,1.0,0.0,0.366667,0.633333,11,0,False
0.41,0.611111,1.0,0.0,0.366667,0.633333,11,0,False
0.43,0.5,1.0,0.0,0.3,0.7,9,0,False
0.44,0.444444,1.0,0.0,0.266667,0.733333,8,0,False
0.48,0.444444,1.0,0.0,0.266667,0.733333,8,0,False
0.58,0.388889,1.0,0.0,0.233333,0.766667,7,0,False
1.0,0.333333,1.0,0.0,0.2,0.8,6,0,False
