major_code,major_title,sub_major_code,sub_major_title,minor_code,minor_title,unit_code,unit_title,unit_description,skill_level,task_letter,task_text,source,source_year
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,a,"presiding over or participating in the proceedings of legislative bodies and administrative councils of national, state, regional or local governments or legislative assemblies;",MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,b,"determining, formulating and directing policies of national, state, regional or local governments;",MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,c,"making, ratifying, amending or repealing laws, public rules and regulations within a statutory or constitutional framework;",MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,d,serving on government administrative boards or official committees;,MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,e,investigating matters of concern to the public and promoting the interests of the constituencies which they represent;,MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,f,"attending community functions and meetings to provide service to the community, understand public opinion and provide information on government plans; The Managers plan, analyze, formulate, direct and advise on government policies, or carry out similar tasks on behalf of special interest organizations; or plan, organize, lead, control and coordinate the policies and activities of an enterprise, organization, department or internal section. Reference to the skill level is open and not strict to education level. However, employment in this major group primarily requires education skills level at the fifth to eighth levels. Skills level MANAGERS Description 6 MALAYSIA STANDARD CLASSIFICATION OF OCCUPATIONS / MANAGERS",MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,g,"negotiating with other legislators and representatives of interest groups in order to reconcile differing interests, and to create policies and agreements;",MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,h,"as members of the government, directing senior administrators and officials of government departments and agencies in the interpretation and implementation of government policies;",MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,i,performing related tasks; and,MASCO 2020,2020
1,MANAGERS,11,"CHIEF EXECUTIVES, SENIOR OFFICIALS AND LEGISLATORS",111,LEGISLATORS AND SENIOR OFFICIALS,1111,LEGISLATORS,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations.",,j,"managing, planning, scheduling and monitoring the tasks of other workers.",MASCO 2020,2020
