isco_08,task_id,title,task_text,score_2025,potential25,potential23,mean_score_2025,source,source_year
1111,1,Legislators,"Presiding over or participating in the proceedings of legislative bodies and administrative councils of national, state, regional or local governments or legislative assemblies;",0.34,Not Exposed,Not affected,0.31,predicted,2025
1111,2,Legislators,"Determining, formulating and directing policies of national, state, regional or local governments;",0.3575,Not Exposed,Not affected,0.31,predicted,2025
1111,3,Legislators,"Making, ratifying, amending or repealing laws, public rules and regulations within a statutory or constitutional framework;",0.29,Not Exposed,Not affected,0.31,predicted,2025
1111,4,Legislators,Serving on government administrative boards or official committees;,0.25,Not Exposed,Not affected,0.31,predicted,2025
1111,5,Legislators,Investigating matters of concern to the public and promoting the interests of the constituencies which they represent;,0.345,Not Exposed,Not affected,0.31,predicted,2025
1111,6,Legislators,"Attending community functions and meetings to provide service to the community, understand public opinion and provide information on government plans;",0.335,Not Exposed,Not affected,0.31,predicted,2025
1111,7,Legislators,"Negotiating with other legislators and representatives of interest groups in order to reconcile differing interests, and to create policies and agreements;",0.2625,Not Exposed,Not affected,0.31,predicted,2025
1111,8,Legislators,"As members of the government, directing senior administrators and officials of government departments and agencies in the interpretation and implementation of government policies.",0.325,Not Exposed,Not affected,0.31,predicted,2025
1112,1,Senior Government Officials,"Advising national, state, regional or local governments and legislators on policy matters;",0.35,Minimal Exposure,Not affected,0.38,predicted,2025
1112,2,Senior Government Officials,"Advising on the preparation of government budgets, laws and regulations, including amendments;",0.435,Minimal Exposure,Not affected,0.38,predicted,2025
1112,3,Senior Government Officials,Establishing objectives for government departments or agencies in accordance with government legislation and policy;,0.355,Minimal Exposure,Not affected,0.38,predicted,2025
1112,4,Senior Government Officials,Formulating or approving and evaluating programmes and procedures for the implementation of government policies in conjunction or consultation with government;,0.355,Minimal Exposure,Not affected,0.38,predicted,2025
1112,5,Senior Government Officials,"Recommending, reviewing, evaluating and approving documents, briefs and reports submitted by middle managers and senior staff members;",0.535,Minimal Exposure,Not affected,0.38,predicted,2025
1112,6,Senior Government Officials,Ensuring appropriate systems and procedures are developed and implemented to provide budgetary control;,0.385,Minimal Exposure,Not affected,0.38,predicted,2025
1112,7,Senior Government Officials,Coordinating activities with other senior government managers and officials;,0.24,Minimal Exposure,Not affected,0.38,predicted,2025
1112,8,Senior Government Officials,Making presentations to legislative and other government committees regarding policies programmes or budgets;,0.375,Minimal Exposure,Not affected,0.38,predicted,2025
