occupation_code,level,parent_code,title,description,skill_level,source,source_year
0,major,,ARMED FORCES,,,MASCO 2020,2020
01,sub_major,0,OTHER ELEMENTARY WORKERS,,,MASCO 2020,2020
011,minor,01,PROFESSIONAL DUTY OFFICERS (MA),,,MASCO 2020,2020
0111,unit,011,PROFESSIONAL DUTY OFFICERS (MA),"Professional Duty Officers (MA) comprise medical officers, dental officers and pharmacy officers, classified as a combat support group, which provides medical assistance to front- line combatants in wartime. However, in peacetime, this group provides medical services, in order of priority, to the Malaysian Armed Forces covering military personnel, their families, ex- military personnel and civilians in need of their services. In addition, professional duty officers are actively involved in community projects in the rural areas. ARMED FORCES Skills level Description",,MASCO 2020,2020
012,minor,01,GENERAL DUTY OFFICERS (MA),,,MASCO 2020,2020
0121,unit,012,GENERAL DUTY OFFICERS (MA),"General Duty Officers (MA) have the leadership role in combat groups, combat support groups and service support groups. The combat group consists of troops in the forefront of battle during wartime. The combat support group provides assistance to the combat group, while the service support group provides logistical support to all the groups.",,MASCO 2020,2020
013,minor,01,PERSONNEL OF OTHER RANKS (MA),,,MASCO 2020,2020
0131,unit,013,PERSONNEL OF OTHER RANKS (MA),"Personnel of Other Ranks (MA) assist superiors in ensuring that the mission they have been assigned is successfully executed. In addition, the performance of duties depends on the speciality of the corps/regiment to which they belong.",,MASCO 2020,2020
02,sub_major,0,OTHER ELEMENTARY WORKERS,,,MASCO 2020,2020
021,minor,02,GENERAL DUTY OFFICERS (RMN),,,MASCO 2020,2020
0211,unit,021,GENERAL DUTY OFFICERS (RMN),"General Duty Officers (RMN) are responsible for planning, training, monitoring and supervising activities to ensure the readiness of the Naval Fleet in the face of surface and sub-surface threats.",,MASCO 2020,2020
022,minor,02,PERSONNEL OF OTHER RANKS (RMN),,,MASCO 2020,2020
0221,unit,022,PERSONNEL OF OTHER RANKS (RMN),Personnel of Other Ranks (RMN) comprise sailors and administrative and management staff who provide support to the navy as a whole. All members play their roles and functions based on their area of expertise in their respective fields.,,MASCO 2020,2020
03,sub_major,0,OTHER ELEMENTARY WORKERS,,,MASCO 2020,2020
